trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F3692743:2025-01-21T00:39:14Z,07:43:00,07:45:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3692743:2025-01-21T00:39:14Z,08:06:00,08:09:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3692743:2025-01-21T00:39:14Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3692743:2025-01-21T00:39:14Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3692743:2025-01-21T00:39:14Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3692743:2025-01-21T00:39:14Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3717914:2024-12-10T00:24:35Z,07:43:00,07:45:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,08:06:00,08:09:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3717914:2024-12-10T00:24:35Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3717915:2024-12-10T00:24:35Z,07:43:00,07:45:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,08:06:00,08:09:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3717915:2024-12-10T00:24:35Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3719010:2024-12-10T00:24:35Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3719010:2024-12-10T00:24:35Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,06:57:00,06:57:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3763199:2025-01-28T00:48:51Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,08:53:00,08:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3763199:2025-01-28T00:48:51Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3782246:2025-01-25T00:39:51Z,07:01:00,07:01:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3782246:2025-01-25T00:39:51Z,07:46:00,07:48:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3782246:2025-01-25T00:39:51Z,08:09:00,08:12:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
