route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000053,OCESN12254F3846500:2025-01-24T00:40:05Z,12254,0,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000054,OCESN12254F3846581:2025-01-24T00:40:05Z,12254,0,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12254F3846582:2025-01-24T00:40:05Z,12254,0,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000055,OCESN12254F3846583:2025-01-24T00:40:05Z,12254,0,64,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000056,OCESN12255F3517299:2025-01-25T00:39:51Z,12255,1,65,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000057,OCESN12255F3826888:2025-01-21T00:39:14Z,12255,1,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000058,OCESN12255F3827561:2025-01-21T00:39:14Z,12255,1,67,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000059,OCESN12255F3831537:2025-01-25T00:39:51Z,12255,1,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12255F3831538:2025-01-25T00:39:51Z,12255,1,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000060,OCESN12256F3506960:2025-01-24T00:40:05Z,12256,0,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000029,OCESN12256F3519174:2025-01-28T00:48:51Z,12256,0,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000061,OCESN12256F3646154:2025-01-24T00:40:05Z,12256,0,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000062,OCESN12256F3828442:2025-01-21T00:39:14Z,12256,0,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000063,OCESN12256F3829618:2025-01-24T00:40:05Z,12256,0,74,
